sex|3|5|10|25|50|75|90|95|97
female|39.5|11.71783|11.99685|12.45442|13.30538|14.40429|15.70905|17.11235|18.08377|18.77826
female|40.5|11.82981|12.11284|12.57735|13.44234|14.56168|15.89422|17.33186|18.32988|19.04483
female|41.5|11.94304|12.23011|12.70158|13.58071|14.72064|16.08126|17.55371|18.57877|19.31458
female|42.5|12.05757|12.34871|12.8272|13.72054|14.88121|16.27016|17.77788|18.83042|19.58748
female|43.5|12.17348|12.4687|12.95423|13.86186|15.04341|16.46093|18.00432|19.08475|19.86343
female|44.5|12.2908|12.59011|13.08271|14.00469|15.20721|16.65353|18.23298|19.34169|20.14237
female|45.5|12.40954|12.71297|13.21265|14.14902|15.37263|16.84793|18.46379|19.60118|20.4242
female|46.5|12.52972|12.83726|13.34405|14.29485|15.53962|17.04408|18.69671|19.86313|20.70884
female|47.5|12.65132|12.96298|13.47689|14.44217|15.70817|17.24195|18.93166|20.12746|20.99619
female|48.5|12.77432|13.09012|13.61116|14.59093|15.87824|17.44149|19.16858|20.39409|21.28616
female|49.5|12.89869|13.21864|13.74682|14.74112|16.04978|17.64265|19.40739|20.66293|21.57866
female|50.5|13.02441|13.3485|13.88384|14.89269|16.22277|17.84537|19.64805|20.93393|21.8736
female|51.5|13.15141|13.47966|14.02217|15.0456|16.39715|18.04961|19.89048|21.20699|22.1709
female|52.5|13.27965|13.61206|14.16176|15.19981|16.57289|18.25533|20.13464|21.48207|22.4705
female|53.5|13.40907|13.74566|14.30257|15.35527|16.74994|18.46249|20.38048|21.7591|22.77232
female|54.5|13.53962|13.8804|14.44453|15.51193|16.92827|18.67105|20.62795|22.03803|23.07631
female|55.5|13.67121|14.01621|14.5876|15.66975|17.10783|18.88097|20.87704|22.31884|23.38243
female|56.5|13.80381|14.15303|14.73172|15.82868|17.28859|19.09224|21.1277|22.60148|23.69063
female|57.5|13.93732|14.29081|14.87683|15.98868|17.47052|19.30483|21.37993|22.88594|24.0009
female|58.5|14.0717|14.42947|15.02287|16.14971|17.65361|19.51874|21.63373|23.17222|24.31322
female|59.5|14.20687|14.56897|15.16981|16.31173|17.83782|19.73395|21.88909|23.46031|24.62758
female|60.5|14.34277|14.70924|15.31758|16.47471|18.02314|19.95048|22.14604|23.75024|24.94401
female|61.5|14.47934|14.85022|15.46614|16.63861|18.20956|20.16834|22.4046|24.04202|25.26252
female|62.5|14.61652|14.99186|15.61545|16.80342|18.39709|20.38753|22.6648|24.3357|25.58315
female|63.5|14.75426|15.13412|15.76547|16.9691|18.58571|20.6081|22.92668|24.63133|25.90595
female|64.5|14.8925|15.27694|15.91616|17.13565|18.77545|20.83007|23.19031|24.92897|26.23096
female|65.5|15.03119|15.42029|16.06749|17.30305|18.96631|21.05349|23.45574|25.22868|26.55827
female|66.5|15.1703|15.56413|16.21943|17.4713|19.15831|21.2784|23.72305|25.53055|26.88796
